State,Sector,Sl No,Project Name,Agency Name,Project Code,Date of Approval (MM/YYYY),Date of Commissioning Original,Date of Commissioning Revised,Date of Commissioning Anticipated,Cost Original,Cost Revised,Cost Anticipated,Cumulative Expenditure in Rs. Crore,Progress (%)
ANDAMAN AND NICOBAR ISLANDS,CIVIL AVIATION RAILWAYS ROAD TRANSPORT AND HIGHWAYS,1,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",AAI,N04000073,10/2013,9/2018,May-23,6/2023,417.23,707.73,707.73,698.80,100
ANDAMAN AND NICOBAR ISLANDS,RAILWAYS,2,LUDHIANA KILA RAIPUR (19 KMS) WITH FREIGHT LINE AT GILL STATION ON LDH-JHL SECTION,NR,N22000584,3/2019,3/2025,N.A.,3/2025,235.72,N.A.,235.72,46.56,50
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND HIGHWAYS,3,"2 LANE WITH HARD SHOLDER , REHABILITATION AND UP GRADATION OF SECTION FROM KM 242.0 TO KM 298.0 OF N",NHIDCL,N24000745,3/2017,12/2019,Mar-23,9/2024,409.85,N.A.,409.85,214.23,94.59
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND HIGHWAYS,4,REHABILITATION AND UP GRADATION OF SECTION FROM KM 206.00 TO KM 242.00 (NIMBUTALA TO AUSTIN CREEK) O,NHIDCL,N24000749,3/2018,9/2020,Nov-22,12/2024,234.27,N.A.,234.27,126.50,80.26
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND HIGHWAYS,5,Rehabilitation and up gradation to 2 lane with paved shoulder configuration from existing km. 122.00,MoRTH,N24000820,11/2017,11/2019,N.A.,11/2019,237.80,N.A.,238.00,222.13,98.23
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND HIGHWAYS,6,RECONSTRUCTION WITH GEOMETRIC IMPROVEMENT OF EXISTING 2 LANE/INTERMEDIATE LANE TO 2LANE WITH PAVED S,MoRTH,N24000821,11/2017,11/2019,N.A.,11/2019,257.34,N.A.,238.00,214.90,100
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND HIGHWAYS,7,AJANTHA TO BULDHANA,MoRTH,N24001008,2/2017,7/2019,N.A.,12/2023,401.00,401.00,401.00,260.08,97
ANDHRA PRADESH,CIVIL AVIATION,8,EXT AND STR. OF EXISTING RUNWAY 08/26 AT TIRUPATI AIRPORT,AAI,N04000089,8/2017,2/2020,Dec-21,1/2024,177.10,N.A.,177.10,143.08,100
ANDHRA PRADESH,CIVIL AVIATION,9,C/O OF NITB AND ASSOCIATED WORK AT VIJAYAWADA AIRPORT,AAI,N04000091,4/2020,3/2023,N.A.,6/2025,611.80,N.A.,611.80,359.24,61.5
ANDHRA PRADESH,CIVIL AVIATION,10,RAJAHMUNDRY AIRPORT: CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUD,AAI,N04000103,12/2022,8/2025,N.A.,8/2025,347.15,N.A.,347.15,51.74,30
ANDHRA PRADESH,CIVIL AVIATION,11,KADAPPA AIRPORT- CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUDING MA,AAI,N04000106,3/2023,1/2026,N.A.,1/2026,265.91,N.A.,265.91,27.25,16
ANDHRA PRADESH,DEPARTMENT OF HIGHER EDUCATION,12,CONSTRUCTION OF PERMANENT CAMPUS FOR INDIAN INSTITUTE OF TECHNOLOGY TIRUPATI AT MERLAPAKA VILLAGE YE,CPWD EDUCATION,N42000005,2/2019,6/2020,N.A.,6/2020,655.34,N.A.,655.34,366.21,95
ANDHRA PRADESH,DEPARTMENT OF HIGHER EDUCATION,13,"CONSTRUCTION OF PERMANENT CAMPUS FOR IISER AT JANGALAPALLI VILLAGE, YERPEDU MANDAL, CHITTOOR DISTRIC",CPWD EDUCATION,N42000007,9/2019,9/2022,N.A.,6/2024,588.72,656.39,656.39,666.18,100
ANDHRA PRADESH,PETROLEUM,14,VISAKH REFINERY MODERNISATION PROJECT,HPCL,N16000235,7/2016,7/2020,Feb-25,2/2025,"20,928.00","30,609.00","30,609.00","27,533.00",98.6
ANDHRA PRADESH,PETROLEUM,15,KG-DWN-98-2 CLUSTER II DEVELOPMENT PROJECT,ONGC,N16000247,3/2016,6/2020,Mar-25,3/2025,"34,012.00",N.A.,"34,012.00","31,557.33",94.4
ANDHRA PRADESH,PETROLEUM,16,REVAMPING OF FACILITIES AT VIZAG TERMINAL,IOCL,N16000343,4/2018,4/2022,Mar-25,3/2025,355.00,N.A.,355.00,245.14,77.5
ANDHRA PRADESH,PETROLEUM,17,SWRO II WITH LLPH FACILITIES,HPCL,N16000378,9/2019,7/2020,N.A.,3/2025,196.26,196.26,196.26,168.60,87.3
